Link: http://vaccineimpact.com/2015/nicholas-gonzalez-m-d-scientifically-no-polio-vaccine-was-needed/
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
5705,4072,740,893,,

Source,Followers,Date,Interactions,Post Type,Link
National Vaccine Information Center,145794,Sun Feb 22 2015 05:15:11 GMT+0100 (CET),1539,Facebook,https://www.facebook.com/national.vaccine.information.center/posts/10153027302282931
CancerTruth,180087,Sun Feb 22 2015 16:35:19 GMT+0100 (CET),1232,Facebook,https://www.facebook.com/CancerTruth.FanPage/posts/10153110195493205
National Vaccine Information Center,205170,Tue Apr 10 2018 05:00:28 GMT+0200 (CEST),346,Facebook,https://www.facebook.com/national.vaccine.information.center/posts/10156017539842931
Coconut Health,342899,Sat Feb 21 2015 21:00:01 GMT+0100 (CET),292,Facebook,https://www.facebook.com/CoconutHealth/posts/901048489940247
Vaccination Information Network (VINE),0,Sat Feb 21 2015 11:16:10 GMT+0100 (CET),291,Facebook,https://www.facebook.com/vaccinationinformationnetwork/posts/10153585610698998
Health Impact News,488613,Sat Feb 21 2015 17:00:01 GMT+0100 (CET),189,Facebook,https://www.facebook.com/HealthImpactNews/posts/834097836628667
Esai Morales,0,Sat Feb 28 2015 16:10:13 GMT+0100 (CET),151,Facebook,https://www.facebook.com/esaimoralesfb/posts/10153445333947203
VaccineImpact,0,Mon Mar 30 2015 17:24:00 GMT+0200 (CEST),95,Facebook,https://www.facebook.com/VaccineImpact/posts/832352170178098
VaccineImpact,0,Fri Feb 20 2015 22:02:00 GMT+0100 (CET),84,Facebook,https://www.facebook.com/VaccineImpact/posts/809351159144866
VaccineImpact,0,Thu Jul 23 2015 18:28:19 GMT+0200 (CEST),69,Facebook,https://www.facebook.com/VaccineImpact/posts/888341387912509
Barb Loe  NVIC,6987,Tue Apr 10 2018 05:00:28 GMT+0200 (CEST),40,Twitter,https://twitter.com/NVICLoeDown/status/983540188025643008
Truth News Radio Australia,2979,Wed Apr 11 2018 01:23:38 GMT+0200 (CEST),4,Facebook,https://www.facebook.com/truth.news/posts/1846479938730768
