Link: http://vaccineimpact.com/2015/pediatrician-specializing-in-special-needs-for-children-speaks-out-against-mandatory-vaccines-in-california/
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
12937,7999,3977,961,,

Source,Followers,Date,Interactions,Post Type,Link
National Vaccine Information Center,126379,Sun May 17 2015 03:30:24 GMT+0200 (CEST),1840,Facebook,https://www.facebook.com/national.vaccine.information.center/posts/10153217020697931
Health Impact News,478911,Fri May 15 2015 21:00:01 GMT+0200 (CEST),851,Facebook,https://www.facebook.com/HealthImpactNews/posts/873162449388872
vactruth.com,0,Sun May 17 2015 00:10:39 GMT+0200 (CEST),714,Facebook,https://www.facebook.com/vaccinetruth/posts/10152959674922989
VaccineImpact,0,Fri May 15 2015 18:33:27 GMT+0200 (CEST),366,Facebook,https://www.facebook.com/VaccineImpact/posts/854397014640280
Vaccination Information Network (VINE),112729,Sat May 16 2015 17:43:12 GMT+0200 (CEST),323,Facebook,https://www.facebook.com/vaccinationinformationnetwork/posts/10153810872133998
Vaccination Information Network (VINE),116058,Mon Nov 30 2015 02:35:41 GMT+0100 (CET),295,Facebook,https://www.facebook.com/vaccinationinformationnetwork/posts/10154326245133998
Coconut Health,337668,Sat May 16 2015 21:00:01 GMT+0200 (CEST),225,Facebook,https://www.facebook.com/CoconutHealth/posts/948282688550160
The Refusers,0,Sat May 16 2015 18:34:49 GMT+0200 (CEST),191,Facebook,https://www.facebook.com/TheRefusers/posts/859724554065019
VaccineImpact,0,Sun Jun 21 2015 20:31:38 GMT+0200 (CEST),89,Facebook,https://www.facebook.com/VaccineImpact/posts/873921959354452
Dr Wakefield's work must continue,0,Sat May 16 2015 00:45:54 GMT+0200 (CEST),78,Facebook,https://www.facebook.com/DrAndrewWakefield/posts/10152954283798165
A Very Special Needs Resource,83936,Sun May 17 2015 03:30:31 GMT+0200 (CEST),72,Facebook,https://www.facebook.com/AVerySpecialNeedsResource/posts/652623701505986
Kelly the Kitchen Kop,0,Sat May 23 2015 22:00:01 GMT+0200 (CEST),43,Facebook,https://www.facebook.com/KellytheKitchenKop/posts/10152776892596262
Dr Wakefield's work must continue,0,Sat May 16 2015 15:31:18 GMT+0200 (CEST),34,Facebook,https://www.facebook.com/DrAndrewWakefield/posts/10152955885583165
